"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Liabilities","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Payable","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Payable","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Payable","1-Jan-11","9100"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Payable","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Payable","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Payable","31-Dec-11","7829"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Receivable","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Receivable","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Receivable","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Receivable","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Receivable","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Accounts Receivable","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","1-Jan-03","5750"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","1-Jan-06","14052"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","1-Jan-07","50273"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","1-Jan-11","2677"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","1-Jan-97","1820"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","31-Dec-03","6956"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","31-Dec-06","50273"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","31-Dec-07","15996"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","31-Dec-11","4230"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Cash & Equivalent","31-Dec-97","3736"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Deferred Revenue","1-Jan-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Deferred Revenue","1-Jan-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Deferred Revenue","1-Jan-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Deferred Revenue","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Deferred Revenue","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Deferred Revenue","31-Dec-11","0"
